calories,protein,fat,sodium,fiber,carbo,sugars,mfr_G,mfr_K,mfr_N,mfr_P,mfr_Q,mfr_R,shelf,rating
5.041307897455144,-2.4700972573048716,-0.05458095177282941,-1.1294342539763003,0.6675882114033971,0.6404010696881173,-0.02239865175144574,0.0,0.0,1.0,0.0,0.0,0.0,3,68.402973
1.5035684858748917,0.31031612190681357,-3.01415410349398,3.202757892509218,1.3446509562616662,0.06699227558348873,0.39657261883655265,0.0,0.0,0.0,0.0,1.0,0.0,3,33.983679
4.866598425196418,-1.9468137417343032,0.8698127074402134,-1.2255498856315776,0.3582648228984266,1.832924201342475,0.232872256950684,0.0,1.0,0.0,0.0,0.0,0.0,3,59.425505
5.4688855276565,-3.8990006328562457,1.8838557998256273,-1.6289930331926745,0.6016906499045319,0.37400197552252606,0.8115249503028955,0.0,1.0,0.0,0.0,0.0,0.0,3,93.704912
0.08837808829036194,0.39158282055602694,-1.4900785842152553,0.05471595440903814,0.3319029978317464,0.8483598594690754,-0.2713508799010487,1.0,0.0,0.0,0.0,0.0,0.0,1,29.509541
-1.0537515944270492,0.12486597554901006,-1.5505924117376415,-1.0791791869019243,0.2798143811600599,-0.5805500392822699,0.8007339127120794,0.0,1.0,0.0,0.0,0.0,0.0,2,33.174094
0.6315904409860902,2.1947023999520017,0.44225726102603635,0.8017053213197382,-0.9947809043680674,-0.0990853744896681,-0.012145820423214515,1.0,0.0,0.0,0.0,0.0,0.0,3,37.038562
0.5616472230677564,-0.7514658442939477,0.272963822360293,-0.5619722186042604,-0.34741590378055187,0.7337474866392781,-0.2447499396300887,0.0,0.0,0.0,0.0,0.0,1.0,1,49.120253
1.5353135915600078,-1.2227867997815975,0.9534371942936258,-0.9366857086717786,-0.22258469064186337,0.5036834236373786,0.39458988920822496,0.0,0.0,0.0,1.0,0.0,0.0,3,53.313813
-0.9457616580694433,1.1637253194059085,-1.8713351721345,-0.26618069565063557,-0.12231719697252498,1.182823658395956,-0.4838744119882013,0.0,0.0,0.0,0.0,1.0,0.0,2,18.042851
0.2558957262441161,0.34986955622724486,2.3611461272908274,2.699217281459906,1.2379193124314412,1.003693762636265,1.6891810251830355,1.0,0.0,0.0,0.0,0.0,0.0,1,50.764999
-0.7893439625965565,1.171271510782093,-1.7098786801503085,0.6314983944739849,0.04087435312870101,1.3909453910317944,-0.8443387207146194,1.0,0.0,0.0,0.0,0.0,0.0,2,19.823573
1.0049158636965194,-0.036275538678466106,-0.66365800420864,0.7396450321529755,-0.15046325973498695,0.41673193704367956,-1.0842281906288431,1.0,0.0,0.0,0.0,0.0,0.0,3,40.400208
-1.3497675676514371,0.6095166795206188,-1.696651428970206,-0.8552572949531453,0.21052245750998938,0.3330014016632299,0.5168798880453458,1.0,0.0,0.0,0.0,0.0,0.0,2,22.736446
-2.4122159197146424,0.2180995448919306,1.7328899430748592,0.08151300939860115,-0.9890054966241104,0.6049773494296268,0.2634397493722867,0.0,0.0,0.0,0.0,0.0,1.0,1,41.445019
-2.068635713985354,-0.2238795144283134,1.8866918783080553,-0.125560441613581,-0.8194845870374771,0.8464757314762897,0.3741573510137016,0.0,1.0,0.0,0.0,0.0,0.0,1,45.863324
-1.615772320702253,-0.09704849424849836,-1.5266739301714252,-1.137698987828863,-0.07691210722279584,-0.8951492268924508,0.3919509219278223,0.0,1.0,0.0,0.0,0.0,0.0,2,35.782791
-1.2742749505062185,0.6077165690964952,-1.6780968109336787,-0.8658057200554984,0.21473738729252728,0.32557819645331354,0.546172034570824,1.0,0.0,0.0,0.0,0.0,0.0,2,22.396513
2.255412418980009,-0.011552785435264083,-1.1063118929740812,0.9603572891125672,0.4385901174028417,0.8486997429494394,-0.8935313101750284,0.0,1.0,0.0,0.0,0.0,0.0,3,40.448772
-2.042986616211051,-0.10349030261031889,1.4313042045384505,0.09176367910023787,-0.8273700172044074,0.049974122531780234,0.23333571226545322,0.0,1.0,0.0,0.0,0.0,0.0,3,46.895644
0.37794121082422044,-0.33838939664643125,-1.1310550847702106,-0.6260181413687628,0.16174278559669744,0.14355242823341938,0.002431230861074951,1.0,0.0,0.0,0.0,0.0,0.0,3,36.176196
-0.9648725020484071,-0.5259274295239025,0.7232318557121827,-0.45329119697265036,-0.8698556762085571,0.08441024185622974,-0.2992973609817489,0.0,0.0,0.0,0.0,0.0,1.0,3,44.330856
-0.8770453952629474,0.30734946962993365,-1.7274265476467527,-0.40620066234840374,0.5380044998975253,-0.24958128618578124,0.556399888693189,0.0,1.0,0.0,0.0,0.0,0.0,2,32.207582
-1.339658212683316,0.18816514950382413,-0.8993236867564977,-1.4059885965819054,-0.7451732962155102,0.3505259535656314,-0.19354961781888236,0.0,1.0,0.0,0.0,0.0,0.0,1,31.435973
0.33525941623214883,-1.321516670776101,-0.3245434408971221,-0.09261699733816203,0.001773471716603966,-1.8045180576717694,-0.04521911915566441,0.0,1.0,0.0,0.0,0.0,0.0,2,58.345141
2.548763364488137,1.1897825445343744,-0.4418613854123995,0.026451406779918966,-0.21900638111751122,-0.11479362378984324,0.3324648496384595,0.0,0.0,0.0,1.0,0.0,0.0,3,40.917047
2.028484613736429,1.4501680876324536,0.556775852850442,-1.4762226578263238,-1.1531375962649446,-0.2196111582904317,0.983786268044428,0.0,1.0,0.0,0.0,0.0,0.0,3,41.015492
-1.2158502198395351,0.32727486508320475,-1.781300521301431,-0.7083484939026979,-0.32725600402209004,0.04214827388832557,-0.5437766508069363,0.0,0.0,0.0,1.0,0.0,0.0,2,28.025765
-0.9049293474854696,-0.3513977566998597,-2.0555520799673577,-1.0765984053708062,0.2118406226937238,-1.2546876391368145,0.23843711785605654,0.0,0.0,0.0,1.0,0.0,0.0,1,35.252444
-1.3727613037980482,0.6749719188493086,-0.5303047831331711,-0.740036682203433,-0.6643397259467306,1.4396624393205302,-0.3329151810638615,1.0,0.0,0.0,0.0,0.0,0.0,2,23.804043
0.06560277555595398,-0.6444644263837919,0.3305534825320728,0.4275908273886755,0.17059085189830972,-0.14191564578266377,0.18083887762120673,0.0,0.0,0.0,1.0,0.0,0.0,3,52.076897
0.7499435558285531,-0.7912362862561664,0.9886555075579093,-0.18101003131041726,-1.5770453349529918,0.14361810986650628,-1.6786600220968428,0.0,0.0,0.0,1.0,0.0,0.0,3,53.371007
1.6525993273230335,-0.08519294343595261,-0.9195157409734119,1.6897300414942982,-0.23467626660640437,0.179804273845435,-2.0626679199813047,0.0,0.0,0.0,1.0,0.0,0.0,3,45.811716
-1.0911659436699437,1.0857595660049928,-1.5778551913567258,-0.14819821549962484,0.35037421855108525,1.0189919009035433,0.3596412718835508,0.0,0.0,0.0,0.0,1.0,0.0,2,21.871292
0.25136726556415984,0.410807323888917,-0.43122144302939375,-0.25839323587699387,0.09866399727777767,1.0732164144611125,0.2703996916897039,1.0,0.0,0.0,0.0,0.0,0.0,1,31.072217
-2.4190741621803986,0.33989670972291897,-0.8318995247728566,-0.9962191432542752,0.3496821870579277,-0.26377195616182414,1.5486684228690109,0.0,0.0,0.0,1.0,0.0,0.0,1,28.742414
-1.3665833746918068,1.069370189960805,1.2221571175449901,-0.8174251150507188,2.1764167022161485,-0.5191666329413176,-1.3132751762014878,0.0,1.0,0.0,0.0,0.0,0.0,3,36.523683
0.11706555990577633,3.1207143465051685,1.7537998924560554,-0.6534513759565133,0.8550691475187858,-1.4712385282450542,-1.530836970999531,0.0,1.0,0.0,0.0,0.0,0.0,3,36.471512
-2.8465489007575973,0.5166642197889152,1.42974795616773,0.9090364471100265,0.3277792467972332,0.40745391769468176,1.669220694453292,1.0,0.0,0.0,0.0,0.0,0.0,2,39.241114
1.0414552126792311,-0.36923988533506824,-0.25368676761498143,1.1362626721453957,0.5010816504439295,0.45494761929321625,-0.42065338655202483,0.0,0.0,0.0,0.0,1.0,0.0,2,45.328074
-1.0294265382915548,0.5182314244124056,-1.2766604204861,-0.3574887557286201,0.38618041336841763,0.2528571783083658,0.6159122475255806,1.0,0.0,0.0,0.0,0.0,0.0,2,26.734515
-0.34083433839917915,-1.0873254647103372,0.2571562555449036,1.6804969918301047,0.5750867827551355,-1.7557713020684813,0.06366848704572355,0.0,0.0,0.0,0.0,0.0,0.0,2,54.850917
1.2364178148409266,1.7594790669899638,-0.6852258841498561,2.298920140044026,0.7441001474175392,-0.7690496233912975,0.678897586975594,0.0,0.0,0.0,0.0,0.0,1.0,3,37.136863
1.1931177697501671,1.9630698505840234,-0.45562459709174713,2.1646921354828073,0.692565153911259,-0.2146107591608257,0.8111223724249629,0.0,0.0,0.0,0.0,0.0,1.0,3,34.139765
1.8657225561766235,3.6861528683772025,-0.3396360844076895,0.509938512494125,-1.48012575484635,-1.2753213356696524,0.20564771447587743,0.0,1.0,0.0,0.0,0.0,0.0,3,30.313351
-0.6869254020640891,-0.16239603718225254,0.223837807388536,-0.13286124701064458,0.13611116570881063,0.6581438422262389,0.5968085441400576,1.0,0.0,0.0,0.0,0.0,0.0,1,40.105965
-0.8782078858052468,0.6070839864008175,-0.6774238525194055,-0.016773192469945717,-0.6270219435765857,0.41747741536315786,-0.6754781382766908,0.0,1.0,0.0,0.0,0.0,0.0,2,29.924285
0.9423271439687493,2.4596867472352657,1.0567468365203332,0.9882679595933537,-1.4979844039505383,-0.18460327217572625,-0.218154961084487,0.0,1.0,0.0,0.0,0.0,0.0,3,40.69232
-0.5747517022069023,-1.2089289746389875,1.5794160373301238,0.09318335912476043,-0.12163703406919345,-0.26789887210846625,0.6240673317098101,0.0,1.0,0.0,0.0,0.0,0.0,3,59.642837
1.3720881989950688,1.7543294950207329,-0.7020894144560733,0.46979792482853994,-0.8325056602489853,0.012342309377888655,-0.7103994723525279,1.0,0.0,0.0,0.0,0.0,0.0,3,30.450843
3.2431183108247184,1.5588360926221525,-0.32612164527852994,-1.2536509023240907,-0.5150063535504046,-0.24094044911686785,1.1441443389903019,0.0,0.0,0.0,1.0,0.0,0.0,3,37.840594
-1.7192620944668053,0.9137796737218006,3.1981137881506143,-1.0651926310280175,1.7227032111367926,0.5632411473287727,-0.873698438565253,0.0,1.0,0.0,0.0,0.0,0.0,3,41.50354
-2.658410192574452,-5.066369524054086,-1.1449551057767717,0.2687412223963143,0.5647992036366859,-0.019154465240777293,-0.271886409018833,0.0,0.0,0.0,0.0,1.0,0.0,3,60.756112
-1.6229888845752263,-5.250702474123847,-1.1002071108309466,0.4122127249927302,1.0531292422226508,0.017829523286850744,0.13258364729375605,0.0,0.0,0.0,0.0,1.0,0.0,3,63.005645
1.105425373235761,-0.6705793648814812,0.2081650906114846,0.5841824015646804,-0.2483817068069066,-0.008765948843912203,-0.8088328895254985,0.0,0.0,0.0,0.0,1.0,0.0,3,49.511874
2.4870203438194394,1.622359696604377,0.2613193896519311,-0.8205369356469726,-0.6890496953301382,-0.3043629570420474,1.112929986999253,0.0,1.0,0.0,0.0,0.0,0.0,2,39.259197
1.5831526519301253,-0.37183324678756274,-0.9692053935711155,0.3311812578605737,0.18944116506391162,0.5815401240469518,-0.8242008911332033,1.0,0.0,0.0,0.0,0.0,0.0,3,39.7034
0.2823789298539673,-1.684940566738739,-0.5031773426818866,-0.5852348300282126,-0.7686082934275322,-1.4603946502945202,-1.2506074168077927,0.0,1.0,0.0,0.0,0.0,0.0,3,55.333142
-2.982802512289558,0.061606209214591146,1.5625506066543646,-0.04702652675573306,-0.9912180354920755,0.17244317747478288,0.37213282057146363,0.0,0.0,0.0,0.0,0.0,1.0,1,41.998933
-2.3445960380404713,0.25331594057581774,1.793190249667406,0.04655949255784479,-0.9941605656608963,0.6983612104434327,0.31677276597946846,0.0,1.0,0.0,0.0,0.0,0.0,1,40.560159
-0.8286042979017813,-3.239328757681053,0.07025866812593778,0.5636819539679933,-0.33118614929600326,-1.177265082212315,0.45592514710184734,0.0,0.0,1.0,0.0,0.0,0.0,1,68.235885
0.6306576061917402,-2.4670071255783754,0.910148186731522,0.802593020531709,-1.4161366967360776,-1.632423689791622,-0.20766546130161798,0.0,0.0,1.0,0.0,0.0,0.0,1,74.472949
0.19542578979660302,-2.3648161490880057,0.9334278668770204,0.9545955389140228,-1.5278745779136451,-1.6711280524212333,-0.36574486447322246,0.0,0.0,1.0,0.0,0.0,0.0,1,72.801787
-0.16302145056526526,0.12885484072562328,-2.5208798152482577,-0.6743962494962807,0.32965106042918474,-0.566758894929307,-0.1863272991150483,0.0,1.0,0.0,0.0,0.0,0.0,2,31.230054
-0.14389076201928497,-0.27630751249285496,2.078328252814271,1.4482740213844716,0.3742362428567527,0.005380345473775237,1.0549580954781599,0.0,1.0,0.0,0.0,0.0,0.0,1,53.131324
-0.516367997627892,-1.630234739260735,-0.11452072383998661,-0.3452167319225484,0.14361690001947958,-1.6259803827886188,0.33075543817698216,0.0,0.0,1.0,0.0,0.0,0.0,2,59.363993
-2.1334430989065525,1.1355466066496598,2.102673513200654,-0.33604787980512374,1.7312660555750774,-0.3559136003895709,-1.638679677414556,1.0,0.0,0.0,0.0,0.0,0.0,3,38.839746
1.8829324734213344,3.9977348741385175,1.2455475094632829,-1.7338332492792612,1.5056057907022786,-1.741743476334764,0.36051564196628105,1.0,0.0,0.0,0.0,0.0,0.0,3,28.592785
-0.2222783574704394,0.4550263126305499,2.140363313922011,-0.6162009857264311,2.5219582093937842,-0.1670655249572171,-0.9137136570351481,1.0,0.0,0.0,0.0,0.0,0.0,3,46.658844
-1.442523869278716,0.26080802149905846,1.1604456256657325,0.5313507478781253,-1.0531215913183711,0.8175030109521821,-0.6652227992781651,1.0,0.0,0.0,0.0,0.0,0.0,3,39.106174
-1.634842274814191,0.41752960858174304,-1.6722057176837437,-0.5935530595167003,0.13429256206824944,-0.08268238296683195,0.2579060898008189,1.0,0.0,0.0,0.0,0.0,0.0,2,27.753301
0.3896971898104854,-0.4756260102158785,1.1820067270407502,0.3344986093731609,-0.49486074589083356,0.8208247834435378,-0.3281009454257831,0.0,0.0,0.0,0.0,0.0,1.0,1,49.787445
-0.17230441950463726,-0.49107010594106626,1.163945338682801,0.5806254310764113,0.14657009213587033,0.2908060566208653,0.62748461441468,1.0,0.0,0.0,0.0,0.0,0.0,1,51.592193
-0.7449963606774421,0.2612195548270957,-0.21143039060608385,-0.08568914006982967,-0.4911847742568962,0.48581060800479403,-0.33974884339089567,1.0,0.0,0.0,0.0,0.0,0.0,1,36.187559
